종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"027740","마니커","KOSPI","음식료품","1290","10","0.78","81929484120"
"204320","만도","KOSPI","운수장비","46900","200","0.43","2202288928000"
"001080","만호제강","KOSPI","철강금속","22050","150","0.68","91507500000"
"088980","맥쿼리인프라","KOSPI","기타금융","13700","-50","-0.36","5546383993900"
"094800","맵스리얼티1","KOSPI","기타금융","4590","-40","-0.86","426109579290"
"138040","메리츠금융지주","KOSPI","기타금융","39650","-500","-1.25","5313547807100"
"008560","메리츠증권","KOSPI","증권","6070","-210","-3.34","4138104614530"
"000060","메리츠화재","KOSPI","보험","42950","400","0.94","5180843750000"
"090370","메타랩스","KOSPI","섬유의복","939","-11","-1.16","69977517672"
"017180","명문제약","KOSPI","의약품","3955","90","2.33","134285910570"
"009900","명신산업","KOSPI","운수장비","23950","400","1.70","1256659685350"
"012690","모나리자","KOSPI","종이목재","3510","50","1.45","128365105050"
"005360","모나미","KOSPI","유통업","4155","25","0.61","78518310585"
"204210","모두투어리츠","KOSPI","서비스업","4800","0","0.00","37568712000"
"009680","모토닉","KOSPI","운수장비","8840","40","0.45","291720000000"
"009580","무림P&P","KOSPI","종이목재","4085","85","2.13","254774603540"
"009200","무림페이퍼","KOSPI","종이목재","2710","15","0.56","112761230100"
"033920","무학","KOSPI","음식료품","10900","-200","-1.80","310650000000"
"008420","문배철강","KOSPI","철강금속","4420","235","5.62","90625492100"
"025560","미래산업","KOSPI","의료정밀","12900","100","0.78","57430890300"
